place,lat,lon,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban,less_than_hs,less_bachelors,doctorate
Nasoncity_IL,38.1772,-88.9673,234.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,0.9915,0.0,0.0,0.0,0.8218,0.1379,0.0805,0.0,missing,missing,missing
Nauvoocity_IL,40.5446,-91.3803,1063.0,0.0123,0.9877,missing,0.9416,0.0053,0.0053,0.0477,0.0019,0.9708,0.0028,0.0,0.016,0.8544,0.0915,0.0842,0.0,missing,missing,missing
NavajoCDP_NM,35.9056,-109.0287,2097.0,0.0042,0.9958,14688.0,0.1332,0.0,0.0225,0.0184,0.0,0.0286,0.0,0.8258,0.0062,0.7542,0.2069,0.09,0.0,missing,missing,missing
Navassatown_NC,34.2568,-78.0048,479.0,0.0,1.0,25375.0,0.9758,0.0,0.0242,0.0,0.0,0.1211,0.8664,0.0,0.0042,0.8059,0.1529,0.0882,0.0,0.3265,0.5395,0.0
NavyYardCityCDP_WA,47.5517,-122.669,2638.0,0.0927,0.9073,36285.0,0.8536,0.0852,0.0562,0.005,0.0523,0.7684,0.0773,0.0,0.0644,0.8524,0.0955,0.0814,0.0,missing,missing,missing
NaytahwaushCDP_MN,47.2645,-95.6302,583.0,0.0142,0.9858,missing,0.8649,0.0135,0.0203,0.0135,0.0,0.0515,0.0086,0.0878,0.0189,0.8042,0.1691,0.092,0.0,missing,missing,missing
Nazarethcity_TX,34.5436,-102.1022,356.0,0.0082,0.9918,missing,0.9403,0.0,0.0373,0.0224,0.0,0.9691,0.0,0.0,0.059,0.9057,0.034,0.0755,0.0,missing,missing,missing
Nebocity_KY,37.3844,-87.6414,220.0,0.0,1.0,missing,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8235,0.1412,0.0588,0.0,missing,missing,missing
Nederlandcity_TX,29.9731,-93.9967,17422.0,0.0275,0.9725,45188.0,0.8798,0.0099,0.0679,0.0377,0.0202,0.9351,0.0089,0.0047,0.0625,0.8443,0.1166,0.0678,0.0,0.1024,0.6393,0.002
NellieburgCDP_MS,32.4019,-88.7745,1354.0,0.0,1.0,missing,0.9252,0.0,0.0566,0.0182,0.0096,0.8419,0.1374,0.0,0.0103,0.7981,0.1612,0.0558,0.0,missing,missing,missing
Nelsoncity_NE,40.202,-98.0668,587.0,0.0,1.0,missing,0.9818,0.0,0.0182,0.0,0.0,0.9949,0.0,0.0,0.0119,0.8382,0.1369,0.0415,0.0,missing,missing,missing
Nelsonvillage_WI,44.4228,-92.0058,395.0,0.0256,0.9744,30833.0,0.9318,0.017,0.0227,0.0284,0.0051,0.9924,0.0,0.0,0.0025,0.8007,0.0963,0.1063,0.0,missing,missing,missing
Nemahavillage_NE,40.3388,-95.6753,178.0,0.0,1.0,29375.0,1.0,0.0,0.0,0.0,0.0112,0.9888,0.0,0.0,0.0056,0.8387,0.1097,0.1097,0.0,missing,missing,missing
