"place,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban"
"Brantleytown_al,"	"920.0,0.0022,0.9978,21574.0,0.9767,0.0,0.0207,0.0026,0.0,0.5935,0.4022,0.0,0.0011,0.4451,0.4339,0.121,0.0"
"Brentcity_al,"	"4024.0,0.0035,0.9965,21287.0,0.954,0.0,0.0261,0.009,0.002,0.4893,0.5002,0.0108,0.0097,0.3598,0.5208,0.1194,0.0"
"Brewtoncity_al,"	"5498.0,0.0035,0.9965,34234.0,0.9771,0.0031,0.0148,0.0049,0.0049,0.576,0.4023,0.0,0.0111,0.5087,0.3837,0.1076,0.0"
"Bridgeportcity_al,"	"2728.0,0.0088,0.9912,28981.0,0.958,0.0,0.03,0.012,0.0011,0.8776,0.0803,0.0,0.0132,0.5635,0.3526,0.0839,0.0"
"Brightoncity_al,"	"3640.0,0.0,1.0,21364.0,0.9228,0.0,0.0467,0.0245,0.0003,0.0901,0.8912,0.0059,0.0173,0.4192,0.5131,0.0677,0.0"
"Brillianttown_al,"	"762.0,0.0,1.0,18224.0,0.9912,0.0,0.0088,0.0,0.0,0.9961,0.0,0.0,0.0066,0.4,0.4813,0.1187,0.0"
"Brooksidetown_al,"	"1393.0,0.0043,0.9957,29792.0,0.9904,0.0,0.0019,0.0076,0.0,0.9052,0.0869,0.0,0.0093,0.5116,0.383,0.1055,0.0"
"Brookwoodtown_al,"	"1483.0,0.0028,0.9972,missing,0.9799,0.0,0.0092,0.011,0.0013,0.9791,0.0054,0.0,0.0034,0.5252,0.3419,0.1329,0.0"
"Brundidgecity_al,"	"2341.0,0.0013,0.9987,16774.0,0.963,0.0039,0.0214,0.0117,0.0026,0.334,0.6352,0.0,0.0081,0.4346,0.4924,0.073,0.0"
"Butlercity_al,"	"1952.0,0.0093,0.9907,35302.0,0.9435,0.0026,0.0329,0.021,0.0,0.8156,0.1788,0.0,0.0061,0.4509,0.4655,0.0836,0.0"
