"CampHilltown_al,"	"0.0344,0.0038,0.0103,20655.0,20655.0,0.5446,0.2819,0.9897,0.0102,0.953,0.0061,0.8054,0.1602,0.0,0.071,0.0307"
"CarbonHillcity_al,"	"0.0,20861.0,20861.0,1.0,0.0,0.9653,0.0162,0.7976,0.1774,0.0,0.0463,0.0185"
"Cardifftown_al,"	"0.0,1.0,0.0,1.0,0.0,0.8409,0.125,0.0,0.0341,0.0"
"Carolinatown_al,"	"0.0,1.0,0.0,1.0,0.0,0.7841,0.2045,0.0,0.0455,0.0"
"Carrolltontown_al,"	"0.0039,24318.0,24318.0,0.9961,0.01,0.9725,0.0075,0.787,0.1786,0.0,0.0714,0.01"
"Castleberrytown_al,"	"0.0,21204.0,21204.0,1.0,0.0,0.9789,0.0106,0.8317,0.1386,0.0,0.0337,0.0106"
"CedarBlufftown_al,"	"0.0379,0.0,0.0083,29211.0,29211.0,0.5242,0.2884,0.9917,0.0032,0.9595,0.0081,0.8065,0.1601,0.0,0.0607,0.0291"
"CenterPointCDP_al,"	"0.0769,0.0045,0.0266,40929.0,40929.0,0.6358,0.1222,0.9734,0.0093,0.9302,0.0184,0.8569,0.1002,0.0041,0.0675,0.038"
"Centrecity_al,"	"0.0194,24000.0,24000.0,0.9806,0.0059,0.9577,0.0156,0.7572,0.1988,0.0,0.068,0.0208"
"Centrevillecity_al,"	"0.0485,0.0074,0.008,31842.0,31842.0,0.4674,0.3182,0.992,0.0,0.9729,0.0,0.809,0.1427,0.0,0.0706,0.0271"
"ChalkvilleCDP_al,"	"0.1037,0.0017,0.0031,0.6286,0.0765,0.9969,0.0,0.9605,0.015,0.8912,0.0859,0.0047,0.05,0.0198"
"Chatomtown_al,"	"0.0442,0.0078,0.0026,31319.0,31319.0,0.4766,0.2571,0.9974,0.0,0.9704,0.0046,0.7967,0.1644,0.0,0.0578,0.0251"
"Chelseatown_al,"	"0.0074,67083.0,67083.0,0.9926,0.0,0.9354,0.0338,0.876,0.0929,0.0,0.0532,0.0308"
"Cherokeetown_al,"	"0.0056,24597.0,24597.0,0.9944,0.0,0.9797,0.002,0.8046,0.1792,0.0,0.0391,0.0183"
"Chickasawcity_al,"	"0.0391,0.0026,0.0092,27036.0,27036.0,0.5561,0.2538,0.9908,0.0058,0.9526,0.0192,0.8144,0.151,0.0,0.0515,0.0224"
"Childersburgcity_al,"	"0.0394,0.0029,0.0086,23932.0,23932.0,0.5676,0.227,0.9914,0.0079,0.9734,0.0128,0.8394,0.1261,0.001,0.0508,0.0049"
"Citronellecity_al,"	"0.002,31739.0,31739.0,0.998,0.0,0.952,0.0267,0.8218,0.1452,0.0,0.0548,0.0213"
"Clantoncity_al,"	"0.0164,30394.0,30394.0,0.9836,0.0019,0.9516,0.0199,0.8149,0.1517,0.0,0.0556,0.0266"
"ClayCDP_al,"	"0.0119,0.9881,0.0044,0.9635,0.0063,0.8981,0.0844,0.0,0.0529,0.0258"
"Clayhatcheetown_al,"	"0.027,30156.0,30156.0,0.973,0.0209,0.9581,0.0209,0.7935,0.1576,0.0,0.0652,0.0"
